sight,title,content
蘭嶼,“遠離塵囂.享受大自然.”,"
第一次造訪.此趟行程主要目的是環島.希望可以概覽蘭嶼全貌.包租車輛半天.民宿主人鄭小姐兼導遊開著車帶領環島.沿途天然美景令人讚嘆:鱷魚岩.玉女岩.雙獅岩.軍艦岩......各種巧妙造型.亮麗姿色.都一 一拍照留戀.鄭小姐是土生土長達悟族人.途經六大部落.瞭若指掌.並介紹文化.飲食習慣.原來飛魚在地吃法是煮著吃.天然健康.真是收穫豐富.因第二天上午就離開.還有其他好行程--看日出.大天池.夜間生態....就留待下次了.
"
蘭嶼,“台灣僅存尚未被開發的美麗島嶼”,"
因必須從台灣搭船約兩個多小時，才能到達的蘭嶼，是一般人比較不會特地選擇去的地方。但相對的，它的美麗，讓去的人一輩子難忘，加上當地達悟族的特色，更加深了他迷人的色彩。
"
蘭嶼,“靈魂得到救贖的地方”,"
有別於本島的商業化及現代化，蘭嶼是我到各地旅遊最感受到原始在地的地方，依舊騎著機車環島，環繞蘭嶼，經過各村部落，感受到的不外乎原住民的文化，雖然也慢慢受到本島居民的現代化進駐，但在環島的末段，在某座小學旁，感到當地民眾的純樸，讓我頓時感到心靈上的救贖，似乎為這個在大都市生活已久的我，得到另一種不同的感受
"
蘭嶼,“蘭嶼”,"
蘭嶼 位於台灣.台東外海偏遠小島島上交通以船跟飛機為主 但物資只有船運 飛機每小時一班 船就要3天一班船島上交通只有向民宿租借機車來蘭嶼 建議夏天至秋天 此兩季節為旺季.也是蘭嶼飛魚季的開始(包含大船下海)來蘭嶼不是以玩為主 而是來放鬆 欣賞海景 看看蘭嶼人的文化當地的涼亭 是許多遊客要注意的地方 是禁止穿鞋上去的 而要把鞋子脫掉才能在涼亭上休息(因為涼亭在蘭嶼是屬於休息的地方)蘭嶼最好以三天兩夜第一天浮淺加逛附近的景點第二天一大早可以去蘭嶼的東清部落 欣賞日出 順在在那吃早餐.然後環島一圈 欣賞蘭嶼的海景跟個個景點在晚上時 6.7點時 可以去無餓不座的餐廳吃個晚餐由於蘭嶼物資不方便 所以在地的飲食都會比較貴 所以別介意至於機場附近有一家麵攤 叫機場路路的麵攤 價位還不算貴 有去蘭嶼的可以去吃吃蘭嶼環島一圈 慢慢騎 可要2.3個小時 所以基本要兩天的時間早上去 隔天的下午回台東 這才不會太趕時間還有交通的費用 飛機跟船的價位 只差3.4百 但是時間差很多 就要好好斟酌了
"
蘭嶼,“飛魚 Q島 丁字褲”,"
蘭嶼是個美麗的地方，它的美麗源自於海洋資源與黝黑的蘭嶼人，但已經沒落的一段時間，沒有昔日的純樸與自然感。總之，對於我的記憶來說，想停留在以前的時候，偶爾去看看也不錯。
"
蘭嶼,“遠離都市，放空沉澱的好去處”,"
我沒有去過海島，我想這海島就從台灣的蘭嶼開始。當我搭上蘭嶼海上交通，帶著忐忑的心情，不知道是否真的是一個原始的荒島，且太枯燥。但我們上船後就不久出現海豚伴隨我們的船隻，陪我們一起同行，我想:這是一個充滿驚喜的旅程。當我踏上蘭嶼的陸地，海水的清澈是我在台灣看不的港口。一下船，港口就有好幾位小朋友無憂的在跳港，反覆的爬上爬下，我想這童年，是最無憂無慮的。先租了摩特車看看這個讓我驚豔的島嶼。蘭嶼的居民大約四千多人，那裏的羊跟人差不多樣多，但騎車別撞到羊，因為你必須陪錢，賠了錢又無法把羊帶走的。到蘭嶼和當地居民保持最重要的溝通放式:不催促，不殺價，你如果願意開口跟他們聊一聊，他們會很樂意把歡樂帶給你。到了夜晚，每個村提供的餐點不一樣，你們可以自己去品嚐。晚上月光皎潔時，找個無光害得地方你會發現不時地出現流星。早上的艷陽高照，你考可以下水去浮淺，很幸運的我們，又看到了海龜。下午黃昏時找個涼亭，吹著海風看看夕陽小睡一下。真的很棒的旅程。
"
蘭嶼,“前所未有的生活體驗”,"
去蘭嶼，盡量排個四到五天的行程吧。你可以先在頭兩天走馬看花似的做完所有事，像是：夜遊、浮淺、溯溪…等。然後用剩下的一到兩天，睡到自然醒；選幾個喜歡的地點，好好坐著。看看海，發個呆，或許在一間海邊的小店裡看個書，還是跟山羊一起對看都好。絕對能夠治癒你被各種爛事給糟蹋過後的心神狀態。住宿地點，我個人推薦住在紅頭或者漁人部落，生活機能相對方便。如果真的很想看日出，那就早點起床騎車去吧（但夜晚的路請盡量騎慢一點）。最後要注意的是，蘭嶼常有突然的大雨，一定要有防水對策。
"
蘭嶼,“2013的飛魚季”,"
這是一個藍天白雲加上翠綠草地跟山坡的漂亮地方!但是，它真的很遠!!這是我第二次蘭嶼旅行，第一次飛魚季造訪，蘭嶼真是太好拍照的地方!!不管是人文(拍殺飛魚、傳統服飾的達悟族人、地下屋之前，要徵求對方的同意!因為我們去旅遊，而他們是生活!!)自然景觀、或是自組攝影團外拍麻豆都是上上之選。除了來回暈船的經驗之外應該沒有甚麼好抱怨的啦!!
"
蘭嶼,“一個淨土但需要我們的幫助”,"
再訪蘭嶼，一定要做的活動就是浮淺呀！！一樣的龍門港，一樣絢爛的珊瑚，但有總珊瑚顏色變少的感覺，雖然還是美翻天，但是經過那麼灘頭或是村莊，只有一種感覺，蘭嶼的美麗需要我們大家的守護，別讓垃圾的破窗效應愈發擴大，請一起營造美好乾淨的蘭嶼吧
"
蘭嶼,“傳統與現代夾縫的蘭嶼”,"
懷著一份既興奮又忐忑的心情到達開元港_蘭嶼在港邊摩托車集中區領了車後先將物品送到蘭恩基金會,再沿東80公路(唯一環島公路)騎到民宿.雖說是公路,但猶如寬敞的產業道路,沿路會看到一片又一片的水芋田(水耕)及旱芋田(土耕)外,不時也會遇見逛大街的家豚和山羊群.因此,不要太在意路上的小黑石及自然養分(羊豬糞).沒有太多的新建物,卻有一間又一間的新建民宿.藍天,白雲,高聳綿延的青山,清澈見底的海水,浮潛,騎累了路旁的發呆亭稍歇一會,吹吹海風也是不錯的享受.騎在島上唯一橫貫公路,隨著公路向上延伸,由高處往下看,蘭嶼的美景一覽無遺. 夜探潮間帶角鴞(蘭嶼獨有的小型貓頭鷹)時,記得抬頭觀賞一望無際的星空,找一找北斗七星.將自己歸零,才能感受到蘭嶼的自然.
"
